iter	Logloss
0	0.6564751037
1	0.6236532247
2	0.5947796171
3	0.5690746523
4	0.5463836619
5	0.5260534879
6	0.5076572937
7	0.4922182422
8	0.4784994344
9	0.4662883782
10	0.4542799133
11	0.4439143225
12	0.4352292718
13	0.427538622
14	0.4206231446
15	0.4144931039
16	0.4091282211
17	0.4037237102
18	0.3995843351
19	0.395337116
20	0.3920599197
21	0.3886636295
22	0.3859899714
23	0.3836774622
24	0.3812277856
25	0.3791543398
26	0.3774050621
27	0.3757899781
28	0.3742534223
29	0.3725695573
30	0.371516207
31	0.3705919645
32	0.3697636021
33	0.3684695679
34	0.367568414
35	0.3662813489
36	0.3652500387
37	0.3646574567
38	0.3634032431
39	0.3629095895
40	0.3622667669
41	0.3612841359
42	0.3608100518
43	0.3605760833
44	0.3600315755
45	0.3598470494
46	0.3595426589
47	0.3591758258
48	0.358986939
49	0.3584274414
50	0.3579825934
51	0.357293838
52	0.3566379272
53	0.3565610154
54	0.3559012155
55	0.3555249377
56	0.3553784764
57	0.3550460199
58	0.3548315247
59	0.3546497768
60	0.3543742404
61	0.3540999162
62	0.3538478387
63	0.3536549863
64	0.3534232774
65	0.3532991054
66	0.3531673011
67	0.3527640306
68	0.352567583
69	0.3523174198
70	0.3521381501
71	0.3518214534
72	0.3518095374
73	0.3515182106
74	0.3510721074
75	0.3508177276
76	0.3504929721
77	0.3504263762
78	0.3502362964
79	0.3500570671
80	0.3499943979
81	0.3497540468
82	0.3494525904
83	0.3492867333
84	0.3492359938
85	0.3491177492
86	0.3488016542
87	0.3484682893
88	0.3480242553
89	0.3478448181
90	0.3476978569
91	0.3474620986
92	0.3473759184
93	0.347209317
94	0.3470427601
95	0.3469349033
96	0.3466534737
97	0.3464184861
98	0.3458797203
99	0.3458089731
100	0.3454653908
101	0.3454426944
102	0.3452463505
103	0.3451795513
104	0.3449993767
105	0.3448658579
106	0.3447740533
107	0.3445705767
108	0.3443182148
109	0.3442479025
110	0.3440855849
111	0.3440605356
112	0.3439485159
113	0.3436053239
114	0.3435224709
115	0.3433410752
116	0.3430983032
117	0.343016792
118	0.3428048232
119	0.3427697865
120	0.3426539218
121	0.3426158999
122	0.3425994028
123	0.3424917523
124	0.3422018186
125	0.3421271129
126	0.3420393289
127	0.3420392009
128	0.3416302277
129	0.3415424781
130	0.3414082202
131	0.3411682548
132	0.3411269041
133	0.3410648141
134	0.3410023083
135	0.3409565343
136	0.3406028897
137	0.340333908
138	0.3401660617
139	0.3401211404
140	0.3399725072
141	0.3397662954
142	0.3396409788
143	0.3392508921
144	0.339148165
145	0.3390568829
146	0.3389025627
147	0.338660672
148	0.3385205234
149	0.3383469423
150	0.3381103662
151	0.3379094362
152	0.3375562195
153	0.3373642093
154	0.3373053202
155	0.3370368388
156	0.3367699476
157	0.3365929787
158	0.3364493676
159	0.336048045
160	0.3357643111
161	0.3356903975
162	0.3355130019
163	0.3352158519
164	0.3350849596
165	0.3346334114
166	0.334327049
167	0.3339637305
168	0.333814586
169	0.3337357535
170	0.3337241369
171	0.3333261778
172	0.3332029202
173	0.3330174816
174	0.3327674951
175	0.3324231181
176	0.3322282706
177	0.3321630061
178	0.3318544692
179	0.3316034424
180	0.3312945287
181	0.3311628478
182	0.331106517
183	0.33100157
184	0.3308390266
185	0.3307165003
186	0.3306332385
187	0.3302847076
188	0.330094049
189	0.3299421647
190	0.3298650622
191	0.3296520205
192	0.3295720264
193	0.329426332
194	0.329328524
195	0.3291865231
196	0.329071045
197	0.3289260012
198	0.3287353406
199	0.3286188009
200	0.3283611235
201	0.3282334345
202	0.328073631
203	0.327856316
204	0.3277211786
205	0.3276082845
206	0.3273924568
207	0.327304333
208	0.327173293
209	0.3268711299
210	0.3265761787
211	0.3264055113
212	0.3262406409
213	0.3260858236
214	0.3259655011
215	0.3257950003
216	0.3256895907
217	0.3255333829
218	0.32541447
219	0.3252979772
220	0.3250753462
221	0.325022976
222	0.3249379292
223	0.3249133347
224	0.3248086188
225	0.3247536765
226	0.3246297342
227	0.3245529444
228	0.3242730109
229	0.3241560424
230	0.3239417892
231	0.3238666267
232	0.3236929334
233	0.3235861876
234	0.3233173453
235	0.3232283784
236	0.3229471059
237	0.3227150459
238	0.3225091506
239	0.3222577047
240	0.3220301546
241	0.3216975302
242	0.3214103905
243	0.3212304225
244	0.321186231
245	0.3209242284
246	0.3208139316
247	0.32053071
248	0.3204551103
249	0.3202605135
250	0.3202034368
251	0.3199931687
252	0.3198604391
253	0.3196228046
254	0.3193645367
255	0.3190447164
256	0.3188826148
257	0.3187040227
258	0.3185598498
259	0.3182134535
260	0.3179170564
261	0.3177592232
262	0.317631385
263	0.317413318
264	0.3171285939
265	0.3169098696
266	0.3166783182
267	0.3165450467
268	0.3164033589
269	0.3160885118
270	0.3159227995
271	0.315792143
272	0.3155529284
273	0.3154994429
274	0.3152732153
275	0.3150192571
276	0.314905437
277	0.3148811893
278	0.3147621514
279	0.3146589707
280	0.3143626254
281	0.3141637709
282	0.3139836408
283	0.3139028171
284	0.3137463891
285	0.3136488404
286	0.3133341656
287	0.313118599
288	0.3129470661
289	0.3128650176
290	0.3125267335
291	0.3123022834
292	0.3121110591
293	0.3120187722
294	0.3117392275
295	0.3115492013
296	0.3113234257
297	0.3111027738
298	0.3108883543
299	0.310680493
